Ano CalendArio;Fonte Declarante;Base Legal;Tipo;Pessoa FIsica Qtd PF;Pessoa FIsica Qtd ContribuiCOes;Pessoa FIsica Total ContribuiCOes (R$);Pessoa FIsica Total DedutIvel (R$);Pessoa JurIdica Qtd PF;Pessoa JurIdica Qtd ContribuiCOes;Pessoa JurIdica Total ContribuiCOes (R$);Pessoa JurIdica Total DedutIvel (R$)
2012;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;931;102123;254356640,2;254356640,2
2012;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;56;1228;22715425,17;22715425,17
2011;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;59;154;24376878;24376878
2011;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;177;605;71949525,47;71949525,47
2011;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;3;18;4616295,78;4616295,78
2011;Ancine;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;0;0;0;0;5;7;505396,44;151618,93
2011;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;359;1992;221041368,2;221041368,2
2011;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;469;1123;40250517,04;40250517,04;1883;21285;1137437300;1137437300
2011;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;5;6;121252;48500,8;25;1503;32723684,38;13816160,45
2011;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;33;45;2211187,23;667565,15;261;463;112181905,8;33800426,47
2011;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;940;102091;282143773,7;282143773,7
2011;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;30;204;302159,53;302159,53
2010;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;65;161;27521751,6;27521751,6
2010;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;174;440;67819017,5;67819017,5
2010;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;3;11;2616500;2616500
2010;Ancine;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;0;0;0;0;4;4;273290;81987
2010;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;284;1615;192838402,3;192838402,3
2010;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;428;977;32400597,88;32400597,88;1657;24177;978761899,7;978761899,7
2010;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;5;6;170270;105788;23;1876;34332665,46;14857808,98
2010;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;44;57;3026288,34;914917,5;246;472;114290544,4;34310157,57
2010;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;841;99165;265169664,3;265169664,3
2009;Ancine;0 - NAo informada;0 - DoaCAo/PatrocInio;0;0;0;0;194;736;95075110,41;95075110,41
2009;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;163;839;99617510,37;99617510,37
2009;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;407;1287;27318316,64;27318316,64;1470;17756;822627046,5;822627046,5
2009;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;7;9;82465;41572;32;1989;39493505,46;16820511,03
2009;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;58;105;3159845,46;961644,49;243;434;84922280,86;25521965,92
2009;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;795;95087;198826208,1;198826208,1
2008;Ancine;0 - NAo informada;0 - DoaCAo/PatrocInio;0;0;0;0;202;848;105818952,8;105818952,8
2008;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;73;457;81355427,49;81355427,49
2008;MinC;0 - NAo informada;0 - DoaCAo/PatrocInio;512;1653;37334230,19;37334230,19;1671;22065;913805612;913805612
2008;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;730;77804;257945758,8;257945758,8
2007;Ancine;0 - NAo informada;0 - DoaCAo/PatrocInio;0;0;0;0;207;793;95971401,82;95971401,82
2007;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;13;63;50920591,16;50920591,16
2007;MinC;0 - NAo informada;0 - DoaCAo/PatrocInio;466;1345;31367075,87;31367075,87;1674;26318;953272478,6;953272478,6
2007;MinC;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;1;20;9570;9570
2007;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;729;67132;8,9876E+11;8,9876E+11
2006;Ancine;0 - NAo informada;0 - DoaCAo/PatrocInio;0;0;0;0;196;809;98757534,29;98757534,29
2006;MinC;0 - NAo informada;0 - DoaCAo/PatrocInio;411;1226;27647949,17;27647949,17;1501;22818;817387291;817387291
2006;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;614;57169;583824708,8;583824708,8
2005;Ancine;0 - NAo informada;0 - DoaCAo/PatrocInio;0;0;0;0;174;759;86878184,63;86878184,63
2005;MinC;0 - NAo informada;0 - DoaCAo/PatrocInio;393;1292;29463917,55;29463917,55;1294;13111;679693029,5;679693029,5
2005;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;547;46588;98595682,12;98595682,12
2004;Ancine;0 - NAo informada;0 - DoaCAo/PatrocInio;1;3;170000;170000;151;605;79786553,14;79786553,14
2004;MinC;0 - NAo informada;0 - DoaCAo/PatrocInio;336; 1.042;28065648,48;28065648,48;1078;12373;481826588,6;481826588,6
2004;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;432;28030;70607375,89;70607375,89
2003;Ancine;0 - NAo informada;0 - DoaCAo/PatrocInio;1;1;75000;75000;144;706;94973569,83;94973569,83
2003;MinC;0 - NAo informada;0 - DoaCAo/PatrocInio;263;823;18422408,29;18422408,29;822;9584;401206590,6;401206590,6
2003;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;357;20236;60505814,23;60505814,23
2002;Ancine;0 - NAo informada;0 - DoaCAo/PatrocInio;1;1;120000;120000;112;539;64811531,46;64811531,46
2002;MinC;0 - NAo informada;0 - DoaCAo/PatrocInio;0;0;0;0;1;12;11332;11332
2002;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;248;11105;21547779,31;21547779,31
